   0.0000000e+00   2.8255823e-01   3.6184202e-01   5.3947443e-01   1.0072355e+00
   5.4874938e-04   2.8262061e-01   3.6191154e-01   5.3956012e-01   1.0073532e+00
   6.0225177e-04   2.8261989e-01   3.6190961e-01   5.3955548e-01   1.0073404e+00
   6.6097057e-04   2.8261910e-01   3.6190748e-01   5.3955037e-01   1.0073263e+00
   7.2541439e-04   2.8261822e-01   3.6190512e-01   5.3954472e-01   1.0073107e+00
   7.9614140e-04   2.8261724e-01   3.6190250e-01   5.3953843e-01   1.0072933e+00
   8.7376420e-04   2.8261615e-01   3.6189957e-01   5.3953140e-01   1.0072739e+00
   9.5895513e-04   2.8261492e-01   3.6189626e-01   5.3952347e-01   1.0072520e+00
   1.0524521e-03   2.8261352e-01   3.6189250e-01   5.3951444e-01   1.0072271e+00
   1.1550649e-03   2.8261191e-01   3.6188817e-01   5.3950408e-01   1.0071985e+00
   1.2676822e-03   2.8261004e-01   3.6188315e-01   5.3949204e-01   1.0071653e+00
   1.3912797e-03   2.8260785e-01   3.6187727e-01   5.3947791e-01   1.0071263e+00
   1.5269278e-03   2.8260526e-01   3.6187031e-01   5.3946123e-01   1.0070803e+00
   1.6758013e-03   2.8260218e-01   3.6186205e-01   5.3944140e-01   1.0070256e+00
   1.8391899e-03   2.8259851e-01   3.6185216e-01   5.3941770e-01   1.0069601e+00
   2.0185086e-03   2.8259410e-01   3.6184032e-01   5.3938929e-01   1.0068817e+00
   2.2153107e-03   2.8258881e-01   3.6182611e-01   5.3935519e-01   1.0067876e+00
   2.4313008e-03   2.8258245e-01   3.6180900e-01   5.3931416e-01   1.0066743e+00
   2.6683496e-03   2.8257479e-01   3.6178842e-01   5.3926475e-01   1.0065379e+00
   2.9285104e-03   2.8256557e-01   3.6176364e-01   5.3920530e-01   1.0063738e+00
   3.2140366e-03   2.8255445e-01   3.6173375e-01   5.3913355e-01   1.0061756e+00
   3.5274012e-03   2.8254109e-01   3.6169782e-01   5.3904731e-01   1.0059374e+00
   3.8713184e-03   2.8252499e-01   3.6165450e-01   5.3894330e-01   1.0056501e+00
   4.2487672e-03   2.8250558e-01   3.6160228e-01   5.3881789e-01   1.0053037e+00
   4.6630167e-03   2.8248223e-01   3.6153945e-01   5.3866695e-01   1.0048865e+00
   5.1176551e-03   2.8245413e-01   3.6146378e-01   5.3848511e-01   1.0043838e+00
   5.6166202e-03   2.8242031e-01   3.6137268e-01   5.3826602e-01   1.0037779e+00
   6.1642337e-03   2.8237957e-01   3.6126286e-01   5.3800189e-01   1.0030470e+00
   6.7652389e-03   2.8233049e-01   3.6113053e-01   5.3768357e-01   1.0021658e+00
   7.4248413e-03   2.8227148e-01   3.6097126e-01   5.3729987e-01   1.0011028e+00
   8.1487542e-03   2.8220051e-01   3.6077951e-01   5.3683747e-01   9.9982058e-01
   8.9432476e-03   2.8211512e-01   3.6054853e-01   5.3627990e-01   9.9827297e-01
   9.8152033e-03   2.8201240e-01   3.6027023e-01   5.3560740e-01   9.9640395e-01
   1.0772173e-02   2.8188891e-01   3.5993528e-01   5.3479654e-01   9.9414695e-01
   1.1822447e-02   2.8174054e-01   3.5953194e-01   5.3381815e-01   9.9141834e-01
